class,icd10,disease,Inf_sexual,Inf_resp,Inf_Enteric,Inf_tropical,Inf_other,Maternal,Neonatal,Nutritionaldeficiencies,Neoplasms,cvd,chronic_resp,Dis_Digestive,Dis_Neurological,Dis_Mental,Dis_Substanceuse,Diabetes,Chronickidney,Skin,Senseorgan,Glaucoma,Cataract,Musculoskeletal,Congenitalbirthdefects,Urinary_maleinfertility,Gynecological,Hemoglobinopathies_hemolytic,Endocrinemetabolicimmune,Dis_oral,Inj_Transport,Inj_Unintentional
总计,X29.904,有毒动物或植物的中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X29.905,有毒动物咬伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X40.901,痛可宁意外中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X41.901,卡马西平中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X41.902,苯巴比妥意外中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X41.903,苯巴比妥自杀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X41.904,硝基安定中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X41.905,安定剂自杀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X41.906,安定中毒，原因不明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X41.907,安眠酮意外中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X41.908,安眠酮自杀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X41.909,安眠药中毒，原因不明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X41.910,安宁自杀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X43.901,莨菪碱类植物中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X43.902,安坦自杀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X44.901,避孕药中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X44.903,抗凝血药意外中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X44.904,洋地黄意外中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X44.905,异博定意外中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X24.901,蜈蚣咬伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W49.903,接触锐利物体的损伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X08.902,电火花烧伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X46.904,松节油意外中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X49.927,化学性烧伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W23.902,被门夹住,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X49.908,清漆中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W20.902,被抛出的混凝土击中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W01.901,同一平面上滑倒、摔倒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W02.901,涉及溜冰、滑雪、溜旱冰或滑板时跌倒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X44.910,误服化妆品,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W20.903,被抛出的物体击中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,V78.401,上或下公共汽车时人员损伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
总计,X49.928,误服硫酸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X44.912,异烟肼意外中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,V89.902,机动车意外翻倒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
总计,W44.904,食管异物，经腔口进入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W44.905,耳道异物，经腔口进入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X40.904,解热药意外中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W41.901,水高压,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X47.911,甲醛意外中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X43.903,麻黄碱意外中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X47.906,氨气意外中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X47.907,液化石油气意外中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X47.908,总烃油蒸气意外中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X47.909,经管道分发的气体意外中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X48.901,砷意外中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X48.902,砷药物意外中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X48.903,敌敌畏意外中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X48.904,杀鼠剂意外中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X49.901,亚硝酸意外中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X49.902,苛性碱意外中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X49.903,汞意外中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X49.905,龙葵果（野葡萄）中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X49.904,蘑菇类意外中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X49.906,苦杏仁意外中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X49.907,食物类意外中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X49.909,加湿器消毒剂中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X49.910,来苏意外中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X49.911,染发液过敏,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X50.901,过度用力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W34.904,意外射击伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W34.905,砂枪伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W35.901,锅炉爆炸，非船上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W39.901,爆竹炸伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W39.902,烟花爆炸伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W40.901,雷管炸伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W40.902,手榴弹意外爆炸伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W40.903,炸伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W44.901,异物进入其他腔口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W44.902,异物进入眼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W44.903,鼻窦异物，经腔口进入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W49.901,切割和穿刺器械引起的事故,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W49.902,切割伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W50.301,在体育运动中拳击伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W54.901,狗咬伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W55.901,其他哺乳动物咬伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W56.801,鲨鱼咬伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W59.901,无毒动物咬伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W77.901,墙壁倒塌伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W77.902,石块砸伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W77.903,树木砸伤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W79.901,吸入或咽下非食物引起的呼吸道梗阻,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W79.902,吸入或咽下食物引起呼吸道梗阻,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,W80.901,吸入或咽下痰或异物引起的呼吸道梗阻,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
肿瘤形态学编码,M84700/1,交界性粘液性囊腺瘤,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M84720/3,粘液性囊腺瘤,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M84800/3,粘液腺癌,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M85100/3,髓样癌,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M85220/3,浸润性导管和小叶性癌,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M85600/3,腺鳞癌,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M87001/0,嗜铬细胞瘤,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M87001/6,转移性神经内分泌癌,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M88300/3,纤维组织细胞瘤.恶性,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M88301/3,恶性纤维组织细胞瘤,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M88940/0,血管平滑肌瘤,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M88950/0,肌瘤,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M89100/3,胚胎性横纹肌肉瘤,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M89810/3,胚胎性癌肉瘤,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M89900/0,良性间叶瘤,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M07.191*,残毁性关节炎,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M07.281*,银屑病性脊椎炎,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M07.391*,银屑病性关节炎,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M07.491*,节段性肠炎性关节病,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M07.591*,溃疡性结肠炎性关节病,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M82.091*,多发性骨髓瘤病引起的骨质疏松,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M82020/0,微小囊性腺瘤,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M82100/2,腺瘤样息肉内的原位腺癌,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M82201/3,"家族性息肉病,癌变",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M82202/0,腺瘤样息肉病,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M82210/3,多发性腺瘤样息肉内的腺癌,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M82310/3,单纯癌,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M82310/6,转移性单纯癌,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M82400/1,阑尾类癌,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M82401/1,神经内分泌瘤,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M82402/3,多肽瘤,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M82410/2,嗜银性类癌瘤,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M82410/3,恶性嗜银性类癌瘤,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M82430/2,杯形细胞类癌,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M82440/3,复合性类癌,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M82450/3,腺类癌瘤,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M82460/3,神经内分泌癌,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M82470/3,梅克尔细胞癌,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M82480/1,APUD瘤,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M82500/0,肺泡细胞瘤,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M82500/1,肺腺瘤病,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M82500/6,转移性肺泡细胞癌,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M82510/0,肺泡性腺瘤,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M82610/0,绒毛状腺瘤,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M82610/2,绒毛状腺瘤内原位腺癌,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M82610/3,绒毛性腺瘤内腺癌,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M82620/3,绒毛状腺癌,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M82630/2,管状绒毛状腺瘤内原位腺癌,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M82701/0,纳尔逊综合征,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M82800/0,嗜酸细胞腺瘤(垂体),,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M82810/0,嗜酸-嗜碱性腺瘤,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M82810/3,嗜酸-嗜碱细胞癌,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
总计,X44.906,氨茶碱意外中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X44.907,止泻药物意外中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X44.908,其他药物意外中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X44.909,误用药物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X45.901,乙醇意外中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X45.902,酒精意外中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X46.902,石油产品意外中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X47.901,一氧化碳意外中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X47.902,氮意外中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X47.903,氯气意外中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X47.904,硫化氢中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
总计,X47.905,二氧化碳中毒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
肿瘤形态学编码,M84610/1,交界性浆液性表面乳头状瘤,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M85620/3,肌上皮癌,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M80000/0,良性肿瘤,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M80000/1,肿瘤,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M80000/3,息肉恶性变,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M80000/6,继发肿瘤,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M80001/1,扁桃体肿瘤,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M80001/1,多房囊肿,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M80001/3,恶性肿瘤,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M80002/1,胰腺肿瘤,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M80002/3,溃疡癌变,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M80002/3,皮肤溃疡癌变,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M80003/1,消化系统肿瘤,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M80004/1,呼吸系统肿瘤,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M80005/1,泌尿生殖系统肿瘤,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M82900/3,嗜酸细胞腺癌,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M80008/1,额骨骨瘤,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M80701/3,表皮样癌,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M83310/3,滤泡性高分化腺癌,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M83401/3,乳头滤泡混合型癌,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M84300/3,粘液表皮样癌,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M84600/3,乳头状浆液性囊腺癌,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M81200/0,移行细胞乳头状瘤,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M81200/1,膀胱乳头状息肉,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M81200/3,移行细胞癌,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M81200/6,继发性移行细胞癌,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M81201/0,移行性细胞乳头状瘤,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M81201/1,膀胱颈息肉,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M81201/1,膀胱息肉,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M81202/1,膀胱乳头状瘤,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M81203/1,膀胱移行上皮息肉,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M81204/1,膀胱移行性细胞乳头状瘤,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M81210/1,膀胱内翻性移行上皮乳头状瘤,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M81210/1,翻转型移行细胞乳头状瘤,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M81230/3,基底细胞样癌,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M81400/0,Brunner`s腺瘤(十二指肠腺瘤),,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M81400/3,腺癌,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M90641/3,混合性生殖细胞瘤,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M90700/3,胚胎性癌,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M90800/3,畸胎瘤，恶性NOS,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M90801/0,卵巢畸胎瘤,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M90810/3,恶性畸胎瘤,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
肿瘤形态学编码,M90840/0,皮样瘤,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
